3cpio	0.14.0-1ubuntu1
adduser	3.153ubuntu1
amd64-microcode	3.20251202.1ubuntu2
apt	3.2.0
baloo6	6.24.0-0ubuntu1
base-files	14ubuntu6
base-passwd	3.6.8
bash	5.3-2ubuntu1
bsdutils	1:2.41.3-3ubuntu2.2
bubblewrap	0.11.1-1ubuntu0.1
busybox-initramfs	1:1.37.0-7ubuntu1
ca-certificates	20260601~26.04.1
casper	26.04.2
chrony	4.8-2ubuntu1
cifs-utils	2:7.4-1ubuntu0.26.04.3
console-setup	1.237ubuntu3.1
console-setup-linux	1.237ubuntu3.1
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
dconf-gsettings-backend:amd64	0.49.0-4
dconf-service	0.49.0-4
debconf	1.5.92
debconf-i18n	1.5.92
debianutils	5.23.2build1
dhcpcd-base	1:10.3.0-7
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
distro-info	1.15
distro-info-data	0.72-0ubuntu0.26.04.1
dmsetup	2:1.02.205-2ubuntu3
dolphin	4:25.12.3-0ubuntu1
dolphin-data	4:25.12.3-0ubuntu1
dpkg	1.23.7ubuntu1
dracut-install	110-11
e2fsprogs	1.47.2-3ubuntu4
eject	2.41.3-3ubuntu2.2
ethtool	1:6.19-1
fdisk	2.41.3-3ubuntu2.2
file	1:5.46-5build2
finalrd	9build2
findutils	4.10.0-3build2
fontconfig	2.17.1-3ubuntu1
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fuse3	3.18.2-1
gcc-16-base:amd64	16-20260322-1ubuntu1
git	1:2.53.0-1ubuntu1
git-man	1:2.53.0-1ubuntu1
glib-networking:amd64	2.80.1-1build2
glib-networking-common	2.80.1-1build2
glib-networking-services	2.80.1-1build2
glycin-loaders	2.1.1+ds-0ubuntu1
glycin-thumbnailers	2.1.1+ds-0ubuntu1
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
gsettings-desktop-schemas	50.0-1ubuntu2
gstreamer1.0-plugins-base:amd64	1.28.2-1
gstreamer1.0-plugins-good:amd64	1.28.2-2ubuntu0.1
gtk-update-icon-cache	4.22.4+ds-0ubuntu0.1
gzip	1.14-1~exp2ubuntu1
hostname	3.25build1
init	1.69
init-system-helpers	1.69
initramfs-tools	0.151ubuntu1
initramfs-tools-bin	0.151ubuntu1
initramfs-tools-core	0.151ubuntu1
intel-microcode	3.20260210.1ubuntu2
iproute2	6.19.0-1ubuntu1.1
iputils-ping	3:20250605-1ubuntu1
isa-support:amd64	27ubuntu2
iso-codes	4.20.1-1
iucode-tool	2.3.1-3build2
kbd	2.7.1-2ubuntu2
kde-cli-tools	4:6.6.4-0ubuntu1
kde-cli-tools-data	4:6.6.4-0ubuntu1
kde-spectacle	4:6.6.6-0ubuntu0.1
kded6	6.24.0-0ubuntu1
keyboard-configuration	1.237ubuntu3.1
kglobalacceld	6.6.5-0ubuntu0.1
kio-fuse	5.1.1-1
kio6	6.24.0-0ubuntu1
kirigami-addons-data	1.11.0-2ubuntu2
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
konsole	4:25.12.3-0ubuntu1
konsole-kpart	4:25.12.3-0ubuntu1
kscreen	4:6.6.5-0ubuntu0.1
kwallet6	6.24.0-0ubuntu1
kwayland6-data	4:6.6.4-0ubuntu1
kwin-style-aurorae	6.6.6-0ubuntu0.1
kwin-wayland	4:6.6.6-0ubuntu0.1
less	668-1build1
libaa1:amd64	1.4p5-51.1build1
libaccounts-glib0:amd64	1.27-3
libaccounts-qt6-1:amd64	1.17-4ubuntu2
libacl1:amd64	2.3.2-2
libaom3:amd64	3.13.1-2
libapparmor1:amd64	5.0.2-0ubuntu1~26.04.1
libappimage1.0abi1t64:amd64	1.0.4-5-7build1
libapt-pkg7.0:amd64	3.2.0
libarchive13t64:amd64	3.8.5-1ubuntu2.2
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libass9:amd64	1:0.17.4-2
libassuan9:amd64	3.0.2-2build1
libasyncns0:amd64	0.8-7
libatomic1:amd64	16-20260322-1ubuntu1
libattr1:amd64	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavc1394-0:amd64	0.5.4-5build4
libavcodec62:amd64	7:8.0.1-3ubuntu2
libavfilter11:amd64	7:8.0.1-3ubuntu2
libavformat62:amd64	7:8.0.1-3ubuntu2
